original,uniformat,equivalent
"Clare, A. D.",A. D. Clare,"['Clare, A. D.']"
Elizabeth Lanham,Elizabeth Lanham,['Elizabeth Lanham']
"Sillamaa, Mary-Anne",Mary-Anne Sillamaa,"['Sillamaa, Mary-Anne']"
"Lindley, James T",James T Lindley,"['Lindley, James T', 'Lindley, James T.']"
"Vrontos, Spyridon D.",Spyridon D. Vrontos,"['Vrontos, Spyridon D.']"
Ranjit K. Sau,Ranjit K. Sau,"['Ranjit K. Sau', 'Sau, Ranjit K']"
"Smeets, Valerie",Valerie Smeets,"['Smeets, Valerie', 'Valerie Smeets']"
Andrew Coleman,Andrew Coleman,['Andrew Coleman']
"Tan, Guofu",Guofu Tan,"['Tan, Guofu', 'Guofu Tan']"
"Fazzari, Steven M",Steven M Fazzari,"['Fazzari, Steven M', 'Fazzari, Steven M.', 'Steven M. Fazzari']"
"D. Schulze, William",William D. Schulze,"['D. Schulze, William', 'Schulze, William D', 'William D. Schulze', 'Schulze, William D.']"
"Hagnere, Cyrille",Cyrille Hagnere,"['Hagnere, Cyrille']"
Nancy Masschelein,Nancy Masschelein,['Nancy Masschelein']
Katherine Baldiga Coffman,Katherine Baldiga Coffman,['Katherine Baldiga Coffman']
"Leamer, Edward E.",Edward E. Leamer,"['Leamer, Edward E.', 'Leamer, Edward E', 'Edward E. Leamer']"
"Altuntas, Muhammed",Muhammed Altuntas,"['Altuntas, Muhammed']"
"Blundell, Richard, et al",Richard Blundell,"['Blundell, Richard, et al', 'Richard Blundell', 'Blundell, Richard']"
"Black, Jane M",Jane M Black,"['Black, Jane M', 'Black, Jane M.']"
Bin Wei,Bin Wei,['Bin Wei']
"Klemkosky, Robert C",Robert C Klemkosky,"['Klemkosky, Robert C', 'Klemkosky, Robert C.']"
"Sugrue, Timothy F.",Timothy F. Sugrue,"['Sugrue, Timothy F.']"
"Schulman, Craig T.",Craig T. Schulman,"['Schulman, Craig T.']"
"Goodhart, C.A.E.",C.A.E. Goodhart,"['Goodhart, C.A.E.']"
Robert S. Goldfarb,Robert S. Goldfarb,"['Robert S. Goldfarb', 'Goldfarb, Robert S.', 'Goldfarb, Robert S']"
"Falk, Barry",Barry Falk,"['Falk, Barry']"
"Oehmke, James F.",James F. Oehmke,"['Oehmke, James F.']"
"Tappe, Stefan",Stefan Tappe,"['Tappe, Stefan']"
"Roberts, Judith A.",Judith A. Roberts,"['Roberts, Judith A.']"
"Shrieves, Ronald E.",Ronald E. Shrieves,"['Shrieves, Ronald E.', 'Shrieves, Ronald E']"
Mary Beth Landrum,Mary Beth Landrum,['Mary Beth Landrum']
Harvey S. Rosen,Harvey S. Rosen,"['Harvey S. Rosen', 'Rosen, Harvey S.', 'Rosen, Harvey S']"
Robert T. Deacon,Robert T. Deacon,"['Robert T. Deacon', 'Deacon, Robert T']"
"Carter, Michael",Michael Carter,"['Carter, Michael']"
"Schindele, Ibolya",Ibolya Schindele,"['Schindele, Ibolya', 'Ibolya Schindele']"
"Warlick, Jennifer L",Jennifer L Warlick,"['Warlick, Jennifer L']"
"Eklof, Matias",Matias Eklof,"['Eklof, Matias']"
Dilip B. Madan,Dilip B. Madan,"['Dilip B. Madan', 'Madan, Dilip B', 'Madan, Dilip B.']"
Sule Alan,Sule Alan,"['Sule Alan', 'Alan, Sule']"
Thomas Drechsel,Thomas Drechsel,['Thomas Drechsel']
"Kinsella, R. P.",R. P. Kinsella,"['Kinsella, R. P.']"
"Nehring, Klaus",Klaus Nehring,"['Nehring, Klaus', 'Klaus Nehring']"
"Long, Ngo Van",Ngo Van Long,"['Long, Ngo Van', 'Ngo van Long', 'Ngo Van Long', 'van Long, Ngo', 'Van Long, Ngo']"
Jürgen Huber,Jürgen Huber,"['Jürgen Huber', 'Jurgen Huber', 'Huber, Jürgen']"
David A. Peel,David A. Peel,"['David A. Peel', 'Peel, David A']"
"Prisman, Eliezer Z",Eliezer Z Prisman,"['Prisman, Eliezer Z', 'Prisman, Eliezer Z.']"
Cristiana Vitale,Cristiana Vitale,['Cristiana Vitale']
"Goergen, Marc",Marc Goergen,"['Goergen, Marc', 'Marc Goergen']"
"Gill, David",David Gill,"['Gill, David', 'David Gill']"
"Kiema, Ilkka",Ilkka Kiema,"['Kiema, Ilkka']"
Luigi Einaudi,Luigi Einaudi,['Luigi Einaudi']
Guy Laroque,Guy Laroque,"['Guy Laroque', 'Laroque, Guy']"
Frank Westermann,Frank Westermann,"['Frank Westermann', 'Westermann, Frank']"
"Skrzypacz, Andrzej",Andrzej Skrzypacz,"['Skrzypacz, Andrzej', 'Andrzej Skrzypacz']"
"Carlos Dias, José",José Carlos Dias,"['Carlos Dias, José', 'Dias, José Carlos']"
Birgit Grodal,Birgit Grodal,"['Birgit Grodal', 'Grodal, Birgit']"
"Andrew Karolyi, G.",G. Andrew Karolyi,"['Andrew Karolyi, G.', 'G. Andrew Karolyi', 'Karolyi, G Andrew', 'Karolyi, G. Andrew']"
"Shah, Anwar",Anwar Shah,"['Shah, Anwar']"
Enriqueta Aragonès,Enriqueta Aragonès,"['Enriqueta Aragonès', 'Aragonès, Enriqueta']"
Dan Kovenock,Dan Kovenock,"['Dan Kovenock', 'Kovenock, Dan']"
"Treynor, Jack L",Jack L Treynor,"['Treynor, Jack L', 'Jack L. Treynor']"
"Moore, Giora",Giora Moore,"['Moore, Giora']"
"Rust, John P",John P Rust,"['Rust, John P']"
"Lobato, Ignacio N.",Ignacio N. Lobato,"['Lobato, Ignacio N.', 'Ignacio N. Lobato', 'Ignacio N Lobato']"
"Andvig, Jens Christopher",Jens Christopher Andvig,"['Andvig, Jens Christopher']"
"Roback, Jennifer",Jennifer Roback,"['Roback, Jennifer']"
Jean-Laurent Rosenthal,Jean-Laurent Rosenthal,"['Jean-Laurent Rosenthal', 'Rosenthal, Jean-Laurent']"
Paul Gomme,Paul Gomme,"['Paul Gomme', 'Gomme, Paul']"
Arjun Venkatesh,Arjun Venkatesh,['Arjun Venkatesh']
Sunil Mulani,Sunil Mulani,"['Sunil Mulani', 'Mulani, Sunil']"
"Arrow, Kenneth",Kenneth Arrow,"['Arrow, Kenneth', 'Kenneth Arrow']"
"Pearce, Douglas K",Douglas K Pearce,"['Pearce, Douglas K', 'Pearce, Douglas K.']"
"Salcedo, Alejandrina",Alejandrina Salcedo,"['Salcedo, Alejandrina']"
"Grossman, Jean Baldwin",Jean Baldwin Grossman,"['Grossman, Jean Baldwin']"
"Deere, Donald R",Donald R Deere,"['Deere, Donald R', 'Donald R. Deere']"
"Nance, Deana R",Deana R Nance,"['Nance, Deana R']"
"Huo, Teh-Ming",Teh-Ming Huo,"['Huo, Teh-Ming']"
"Weber, Sebastian",Sebastian Weber,"['Weber, Sebastian']"
"Weintraub, Daniela B.",Daniela B. Weintraub,"['Weintraub, Daniela B.']"
"Weiner, Robert J",Robert J Weiner,"['Weiner, Robert J', 'Weiner, Robert J.']"
Robert J. Myers,Robert J. Myers,['Robert J. Myers']
"Gupta, Aparna",Aparna Gupta,"['Gupta, Aparna']"
Pol Antràs,Pol Antràs,"['Pol Antràs', 'Antràs, Pol']"
"Somers, Harold M",Harold M Somers,"['Somers, Harold M', 'Harold M. Somers']"
"Sorensen, Peter",Peter Sorensen,"['Sorensen, Peter', 'Peter Sorensen']"
"Phillips, P.C.B.",P.C.B. Phillips,"['Phillips, P.C.B.']"
"Chakraborti, S",S Chakraborti,"['Chakraborti, S']"
"Huang, Tao",Tao Huang,"['Huang, Tao']"
"Pieper, Paul",Paul Pieper,"['Pieper, Paul']"
Salvador Ortigueira,Salvador Ortigueira,"['Salvador Ortigueira', 'Ortigueira, Salvador']"
"Gillman, Max",Max Gillman,"['Gillman, Max', 'Max Gillman']"
"Hatanaka, Michio",Michio Hatanaka,"['Hatanaka, Michio']"
Thierry Verdier,Thierry Verdier,"['Thierry Verdier', 'Verdier, Thierry']"
"Bawa, Vijay S",Vijay S Bawa,"['Bawa, Vijay S', 'Bawa, Vijay S.', 'Bawa, Vijay S, et al']"
"Rogoff, Ken",Ken Rogoff,"['Rogoff, Ken']"
Philip R. Lane,Philip R. Lane,"['Philip R. Lane', 'Lane, Philip R.', 'Lane, Philip R']"
Ning Ma,Ning Ma,['Ning Ma']
Martin Brown,Martin Brown,"['Martin Brown', 'Brown, Martin']"
"Molyneux, P.",P. Molyneux,"['Molyneux, P.']"
Elizabeth T. Powers,Elizabeth T. Powers,"['Elizabeth T. Powers', 'Powers, Elizabeth T.']"
"Framingham, C F",C F Framingham,"['Framingham, C F']"
Markos Mamalakis,Markos Mamalakis,['Markos Mamalakis']
Anna Aizer,Anna Aizer,"['Anna Aizer', 'Aizer, Anna']"
"Koijen, Ralph S.J.",Ralph S.J. Koijen,"['Koijen, Ralph S.J.', 'Ralph S.J. Koijen', 'Ralph S. J. Koijen']"
"Koveos, Peter E.",Peter E. Koveos,"['Koveos, Peter E.']"
"Escanciano, J. Carlos",J. Carlos Escanciano,"['Escanciano, J. Carlos', 'Carlos Escanciano, J.']"
Jairo Nuñez,Jairo Nuñez,['Jairo Nuñez']
Travis Ng,Travis Ng,['Travis Ng']
"Bui, Linda T M",Linda T M Bui,"['Bui, Linda T M']"
Viera Chmelarova,Viera Chmelarova,"['Viera Chmelarova', 'Chmelarova, Viera']"
Moses Shayo,Moses Shayo,"['Moses Shayo', 'Shayo, Moses']"
Amitabh Chandra,Amitabh Chandra,['Amitabh Chandra']
"Olson, Mancur, Jr",Mancur Olson,"['Olson, Mancur, Jr', 'Olson, Mancur', 'Mancur Olson']"
"Polak, R W",R W Polak,"['Polak, R W']"
"Morikawa, Yukio",Yukio Morikawa,"['Morikawa, Yukio']"
Thomas Gilbert,Thomas Gilbert,"['Thomas Gilbert', 'Gilbert, Thomas']"
"Martin, Lawrence W",Lawrence W Martin,"['Martin, Lawrence W']"
W. Bentley Macleod,W. Bentley Macleod,"['W. Bentley Macleod', 'Macleod, W. Bentley']"
"Garegnani, P",P Garegnani,"['Garegnani, P', 'P. Garegnani']"
Ryosuke Okamoto,Ryosuke Okamoto,['Ryosuke Okamoto']
"Römer, Daniel",Daniel Römer,"['Römer, Daniel']"
Laurent Muller,Laurent Muller,['Laurent Muller']
