original,uniformat,equivalent
David L. Glickman,David L. Glickman,['David L. Glickman']
"Colaco, Hugh M.J.",Hugh M.J. Colaco,"['Colaco, Hugh M.J.']"
"Tironi, Ernesto",Ernesto Tironi,"['Tironi, Ernesto']"
"Neuefeind, Wilhelm",Wilhelm Neuefeind,"['Neuefeind, Wilhelm']"
Catherine L. Mann,Catherine L. Mann,"['Catherine L. Mann', 'Mann, Catherine L']"
Dorsey Richardson,Dorsey Richardson,['Dorsey Richardson']
Julie L. Hotchkiss,Julie L. Hotchkiss,"['Julie L. Hotchkiss', 'Hotchkiss, Julie L']"
"Kenward, Lloyd R.",Lloyd R. Kenward,"['Kenward, Lloyd R.']"
"Li, Liuchuang",Liuchuang Li,"['Li, Liuchuang']"
"Swaim, Paul",Paul Swaim,"['Swaim, Paul']"
"Oliner, Stephen",Stephen Oliner,"['Oliner, Stephen']"
David C. Ewert,David C. Ewert,['David C. Ewert']
"Chakrabarti, S K",S K Chakrabarti,"['Chakrabarti, S K']"
"Alkire, Sabina",Sabina Alkire,"['Alkire, Sabina']"
"Winschel, Viktor",Viktor Winschel,"['Winschel, Viktor', 'Viktor Winschel']"
"Carbo-Valverde, Santiago",Santiago Carbo-Valverde,"['Carbo-Valverde, Santiago', 'Carbo Valverde, Santiago']"
"Boldea, Otilia",Otilia Boldea,"['Boldea, Otilia']"
William McChesney Martin Jr.,William McChesney Martin Jr.,['William McChesney Martin Jr.']
Loukas Balafoutas,Loukas Balafoutas,"['Loukas Balafoutas', 'Balafoutas, Loukas']"
"LAL, Deepak",Deepak LAL,"['LAL, Deepak']"
"Pashardes, Panos",Panos Pashardes,"['Pashardes, Panos', 'Panos Pashardes']"
Pierre Dehez,Pierre Dehez,"['Pierre Dehez', 'Dehez, Piere', 'Dehez, Pierre']"
"Fraser, R. W.",R. W. Fraser,"['Fraser, R. W.']"
"Miyamoto, Hiroaki",Hiroaki Miyamoto,"['Miyamoto, Hiroaki']"
"Terlizzese, Daniele",Daniele Terlizzese,"['Terlizzese, Daniele']"
"Eser, Zekeriya",Zekeriya Eser,"['Eser, Zekeriya']"
"Bosch-Domenech, Antoni",Antoni Bosch-Domenech,"['Bosch-Domenech, Antoni']"
"Andersson, Roland",Roland Andersson,"['Andersson, Roland']"
"Wang, Yi-Chiuan",Yi-Chiuan Wang,"['Wang, Yi-Chiuan']"
"Vos, Siert J.",Siert J. Vos,"['Vos, Siert J.']"
M. L. Greenhut,M. L. Greenhut,['M. L. Greenhut']
"Agmon, T",T Agmon,"['Agmon, T']"
"Abrahamse, A. P. J.",A. P. J. Abrahamse,"['Abrahamse, A. P. J.']"
"Shah, Shekhar",Shekhar Shah,"['Shah, Shekhar']"
"Camponovo, Lorenzo",Lorenzo Camponovo,"['Camponovo, Lorenzo']"
"Struyk, Raymond J",Raymond J Struyk,"['Struyk, Raymond J']"
"Silva, Ana Cristina",Ana Cristina Silva,"['Silva, Ana Cristina']"
Ryan Love,Ryan Love,['Ryan Love']
"Inoue, Kotaro",Kotaro Inoue,"['Inoue, Kotaro']"
Alberto Davila,Alberto Davila,['Alberto Davila']
"Ellison, Martin",Martin Ellison,"['Ellison, Martin', 'Martin Ellison']"
"Kalman, Peter J",Peter J Kalman,"['Kalman, Peter J', 'Kalman, Peter J.']"
"Avarucci, Marco",Marco Avarucci,"['Avarucci, Marco']"
"Easton, B H",B H Easton,"['Easton, B H']"
Contracts,Contracts,['Contracts']
Robert Halvorsen,Robert Halvorsen,"['Robert Halvorsen', 'Halvorsen, Robert']"
"Konan, Denise Eby",Denise Eby Konan,"['Konan, Denise Eby']"
"Mohl, Murray",Murray Mohl,"['Mohl, Murray']"
"Corke, G.",G. Corke,"['Corke, G.']"
"Schwerdt, Guido",Guido Schwerdt,"['Schwerdt, Guido']"
Solomos N. Solomou,Solomos N. Solomou,['Solomos N. Solomou']
"Elitzur, Ramy",Ramy Elitzur,"['Elitzur, Ramy']"
"Cox, Don R",Don R Cox,"['Cox, Don R']"
"Sposi, Michael",Michael Sposi,"['Sposi, Michael']"
Daniel Hartley,Daniel Hartley,"['Daniel Hartley', 'Hartley, Daniel']"
"Leidy, Michael P",Michael P Leidy,"['Leidy, Michael P', 'Leidy, Michael P.']"
Tim Groseclose,Tim Groseclose,['Tim Groseclose']
"Kazamaki Ottersten, Eugenia",Eugenia Kazamaki Ottersten,"['Kazamaki Ottersten, Eugenia']"
Henry S. Schneider,Henry S. Schneider,"['Henry S. Schneider', 'Schneider, Henry S.']"
Charles T. Taylor,Charles T. Taylor,['Charles T. Taylor']
Guojin Gong,Guojin Gong,['Guojin Gong']
"Helms, L. J.",L. J. Helms,"['Helms, L. J.']"
"Chuang, Wen-I",Wen-I Chuang,"['Chuang, Wen-I']"
"He, Wei",Wei He,"['He, Wei']"
Neil Longley,Neil Longley,['Neil Longley']
"Lopoo, Leonard M.",Leonard M. Lopoo,"['Lopoo, Leonard M.']"
Lilian Ng,Lilian Ng,"['Lilian Ng', 'Ng, Lilian']"
"Geroski, P.A.",P.A. Geroski,"['Geroski, P.A.', 'Geroski, P. A.']"
"Caplin, Andrew S",Andrew S Caplin,"['Caplin, Andrew S', 'Andrew S. Caplin']"
"Nelson, Douglas R",Douglas R Nelson,"['Nelson, Douglas R', 'Nelson, Douglas R.']"
"Mattson, Christine L.",Christine L. Mattson,"['Mattson, Christine L.']"
Donor M. Lion,Donor M. Lion,['Donor M. Lion']
"Nayar, Nandkumar",Nandkumar Nayar,"['Nayar, Nandkumar']"
"Leiva-Leon, Danilo",Danilo Leiva-Leon,"['Leiva-Leon, Danilo']"
"Stoimenov, Pavel",Pavel Stoimenov,"['Stoimenov, Pavel']"
"Shieh, Jhy-yuan",Jhy-yuan Shieh,"['Shieh, Jhy-yuan']"
"Akçomak, I. Semih",I. Semih Akçomak,"['Akçomak, I. Semih', '?. Semih Akçomak']"
"Eisenkopf, Gerald",Gerald Eisenkopf,"['Eisenkopf, Gerald']"
Jochem Bresser,Jochem Bresser,['Jochem Bresser']
"Arnold, Thomas M.",Thomas M. Arnold,"['Arnold, Thomas M.']"
"Mundlak, Yair",Yair Mundlak,"['Mundlak, Yair']"
"Tourky, Rabee",Rabee Tourky,"['Tourky, Rabee', 'Rabee Tourky']"
"Brito, D. L.",D. L. Brito,"['Brito, D. L.', 'D. L. Brito']"
"Mude, Andrew G.",Andrew G. Mude,"['Mude, Andrew G.']"
"Hardee, Pauline",Pauline Hardee,"['Hardee, Pauline']"
Ted To,Ted To,"['Ted To', 'To, Ted']"
"Olson, Dennis O.",Dennis O. Olson,"['Olson, Dennis O.']"
"Kanas, Angelos",Angelos Kanas,"['Kanas, Angelos']"
R. A. Hart,R. A. Hart,['R. A. Hart']
"Schwartz, Adam",Adam Schwartz,"['Schwartz, Adam']"
"Howitt, Peter W",Peter W Howitt,"['Howitt, Peter W']"
Karen Brooks,Karen Brooks,['Karen Brooks']
"Bircan, Cagatay",Cagatay Bircan,"['Bircan, Cagatay']"
Robert W. Burgess,Robert W. Burgess,['Robert W. Burgess']
"Neary, J. P.",J. P. Neary,"['Neary, J. P.']"
"Roberts, R Blaine",R Blaine Roberts,"['Roberts, R Blaine', 'R. Blaine Roberts']"
"Ryu, Doojin",Doojin Ryu,"['Ryu, Doojin']"
"Lee, Kyung-Ho",Kyung-Ho Lee,"['Lee, Kyung-Ho']"
"Jackson, William E, III",William E Jackson,"['Jackson, William E, III']"
"Bollobas, Bela",Bela Bollobas,"['Bollobas, Bela']"
"Granat, Sander",Sander Granat,"['Granat, Sander']"
"Rodrigues, Paulo",Paulo Rodrigues,"['Rodrigues, Paulo']"
"Atilgan, Yigit",Yigit Atilgan,"['Atilgan, Yigit']"
Landsberger Michael,Landsberger Michael,['Landsberger Michael']
Leonard L. Watkins,Leonard L. Watkins,['Leonard L. Watkins']
Andrew J. Seltzer,Andrew J. Seltzer,"['Andrew J. Seltzer', 'Seltzer, Andrew J']"
Katja Kaufmann,Katja Kaufmann,['Katja Kaufmann']
Stephanie Lluis,Stephanie Lluis,['Stephanie Lluis']
"Santabárbara, Daniel",Daniel Santabárbara,"['Santabárbara, Daniel']"
Roy van der Weide,Roy van der Weide,"['Roy van der Weide', 'van der Weide, Roy']"
Alexandra M. Resch,Alexandra M. Resch,['Alexandra M. Resch']
"Aste, T.",T. Aste,"['Aste, T.']"
"Malerba, Franco",Franco Malerba,"['Malerba, Franco']"
"Jacoby, Richard A",Richard A Jacoby,"['Jacoby, Richard A']"
"Corcos, Gregory",Gregory Corcos,"['Corcos, Gregory', 'Gregory Corcos']"
Bradley T. Ewing,Bradley T. Ewing,"['Bradley T. Ewing', 'Ewing, Bradley T.']"
Saten Kumar,Saten Kumar,['Saten Kumar']
"de Groot, Hans",Hans de Groot,"['de Groot, Hans']"
"Durbin, J",J Durbin,"['Durbin, J']"
Walter Egle,Walter Egle,['Walter Egle']
"Sharp, David J",David J Sharp,"['Sharp, David J']"
"Verdier, T.",T. Verdier,"['Verdier, T.']"
"Blasko, Matej",Matej Blasko,"['Blasko, Matej']"
"Desmoulins-Lebeault, François",François Desmoulins-Lebeault,"['Desmoulins-Lebeault, François']"
"Song, Kyungchul",Kyungchul Song,"['Song, Kyungchul']"
"Outes-Leon, Ingo",Ingo Outes-Leon,"['Outes-Leon, Ingo']"
"Sohngen, Brent",Brent Sohngen,"['Sohngen, Brent']"
Susan D. Krische,Susan D. Krische,['Susan D. Krische']
"Pico, Raffaella",Raffaella Pico,"['Pico, Raffaella']"
"Leoni, Patrick L.",Patrick L. Leoni,"['Leoni, Patrick L.']"
"Peng, Liang",Liang Peng,"['Peng, Liang', 'Liang Peng']"
Vladimir Atanasov,Vladimir Atanasov,"['Vladimir Atanasov', 'Atanasov, Vladimir']"
"Sullivan, Paul",Paul Sullivan,"['Sullivan, Paul', 'Paul Sullivan']"
Charles G. Nathanson,Charles G. Nathanson,"['Charles G. Nathanson', 'Nathanson, Charles G.']"
"Bester, Helmut",Helmut Bester,"['Bester, Helmut', 'Helmut Bester']"
"Sareen, Samita",Samita Sareen,"['Sareen, Samita']"
Edmund Wright,Edmund Wright,['Edmund Wright']
"Scheffman, D. T.",D. T. Scheffman,"['Scheffman, D. T.', 'D. T. Scheffman']"
Charles D. Sprenger,Charles D. Sprenger,['Charles D. Sprenger']
"Zamagni, Stefano",Stefano Zamagni,"['Zamagni, Stefano']"
"Smith, Kylie",Kylie Smith,"['Smith, Kylie']"
"Burbidge, J. B.",J. B. Burbidge,"['Burbidge, J. B.']"
Christine L. Soutter,Christine L. Soutter,['Christine L. Soutter']
"Hulett, Joe R",Joe R Hulett,"['Hulett, Joe R']"
"Yoo, B. S.",B. S. Yoo,"['Yoo, B. S.']"
"Stivers, Chris",Chris Stivers,"['Stivers, Chris', 'Chris Stivers']"
Brian Mcmanus,Brian Mcmanus,['Brian Mcmanus']
"Weddepohl, Claus",Claus Weddepohl,"['Weddepohl, Claus']"
"Turunen-red, Arja H.",Arja H. Turunen-red,"['Turunen-red, Arja H.']"
"Noguer, Marta",Marta Noguer,"['Noguer, Marta']"
Abraham Neyman,Abraham Neyman,"['Abraham Neyman', 'Neyman, Abraham']"
"Bulír, Ales",Ales Bulír,"['Bulír, Ales']"
Amit Khandelwal,Amit Khandelwal,['Amit Khandelwal']
Bernardo S. Da Silveira,Bernardo S. Da Silveira,['Bernardo S. Da Silveira']
"Datta Gupta, Nabanita",Nabanita Datta Gupta,"['Datta Gupta, Nabanita', 'Gupta, Nabanita Datta']"
"Jenkins, Glenn P.",Glenn P. Jenkins,"['Jenkins, Glenn P.', 'Jenkins, Glenn P']"
"Risa, Alf Erling",Alf Erling Risa,"['Risa, Alf Erling']"
Christopher J. Ellis,Christopher J. Ellis,"['Christopher J. Ellis', 'Ellis, Christopher J.', 'Ellis, Christopher J']"
Volker Wieland,Volker Wieland,"['Volker Wieland', 'Wieland, Volker']"
"Webb, Gwendolyn P",Gwendolyn P Webb,"['Webb, Gwendolyn P']"
"Slok, Torsten",Torsten Slok,"['Slok, Torsten']"
"Shi, Haina",Haina Shi,"['Shi, Haina']"
"Tsurumi, Hiroki",Hiroki Tsurumi,"['Tsurumi, Hiroki']"
"DiLorenzo, Thomas J",Thomas J DiLorenzo,"['DiLorenzo, Thomas J']"
Howard Pack,Howard Pack,"['Howard Pack', 'Pack, Howard']"
Lixiong Guo,Lixiong Guo,['Lixiong Guo']
"McKenna, C J",C J McKenna,"['McKenna, C J']"
Nicola Lacetera,Nicola Lacetera,"['Nicola Lacetera', 'Lacetera, Nicola']"
"Zhu, Dongming",Dongming Zhu,"['Zhu, Dongming']"
Guy Van Orden,Guy Van Orden,['Guy Van Orden']
"Yamagata, Takashi",Takashi Yamagata,"['Yamagata, Takashi']"
"Feicht, Robert",Robert Feicht,"['Feicht, Robert']"
Andrea Vedolin,Andrea Vedolin,['Andrea Vedolin']
Ryan Hill,Ryan Hill,['Ryan Hill']
"Schaefer, Stephen",Stephen Schaefer,"['Schaefer, Stephen']"
"Lin, Kuan-Pin",Kuan-Pin Lin,"['Lin, Kuan-Pin']"
"Altinkilic, Oya",Oya Altinkilic,"['Altinkilic, Oya']"
"Calfee, John",John Calfee,"['Calfee, John', 'John Calfee']"
Raymond Riezman,Raymond Riezman,"['Raymond Riezman', 'Riezman, Raymond']"
"Galitz, Lawrence C.",Lawrence C. Galitz,"['Galitz, Lawrence C.']"
"Hultman, Charles W.",Charles W. Hultman,"['Hultman, Charles W.']"
Robert Powell,Robert Powell,['Robert Powell']
"Ahmad, Yamin",Yamin Ahmad,"['Ahmad, Yamin']"
"Estrada, Ricardo",Ricardo Estrada,"['Estrada, Ricardo']"
"Thornton, Michael C",Michael C Thornton,"['Thornton, Michael C']"
"Zeisberger, Stefan",Stefan Zeisberger,"['Zeisberger, Stefan']"
"Ginsburgh, V.",V. Ginsburgh,"['Ginsburgh, V.']"
"Cauley, Jon",Jon Cauley,"['Cauley, Jon']"
"Tsai, Pan-Long",Pan-Long Tsai,"['Tsai, Pan-Long']"
"Evans, G B A",G B A Evans,"['Evans, G B A']"
Wen-Hao Chen,Wen-Hao Chen,['Wen-Hao Chen']
Dan Covitz,Dan Covitz,['Dan Covitz']
Antonio Bento,Antonio Bento,['Antonio Bento']
Lawrence Schmidt,Lawrence Schmidt,['Lawrence Schmidt']
Peter Robson,Peter Robson,['Peter Robson']
Harry Schwartz,Harry Schwartz,['Harry Schwartz']
"Martinsson, Gustav",Gustav Martinsson,"['Martinsson, Gustav', 'Gustav Martinsson']"
"Muskin, Jerold B",Jerold B Muskin,"['Muskin, Jerold B']"
"Sommers, Benjamin D.",Benjamin D. Sommers,"['Sommers, Benjamin D.']"
James E. Allison,James E. Allison,['James E. Allison']
László Halpern,László Halpern,['László Halpern']
"Jiltsov, Alexei",Alexei Jiltsov,"['Jiltsov, Alexei', 'Alexei Jiltsov']"
"Cheung, Man-Wah",Man-Wah Cheung,"['Cheung, Man-Wah']"
"Ching Leung, Winnie Siu",Winnie Siu Ching Leung,"['Ching Leung, Winnie Siu']"
S. M. Goldman,S. M. Goldman,['S. M. Goldman']
Joseph B. Steinberg,Joseph B. Steinberg,['Joseph B. Steinberg']
"Hagerty, Kathleen M",Kathleen M Hagerty,"['Hagerty, Kathleen M', 'Kathleen M. Hagerty', 'Hagerty, Kathleen M.']"
"Otsuki, Mikiro",Mikiro Otsuki,"['Otsuki, Mikiro', 'Mikiro Otsuki']"
"Konishi, Masaru",Masaru Konishi,"['Konishi, Masaru']"
"Frankle, Alan W",Alan W Frankle,"['Frankle, Alan W']"
"Yang, Yang",Yang Yang,"['Yang, Yang']"
"Engelen, Peter-Jan",Peter-Jan Engelen,"['Engelen, Peter-Jan']"
Haiyan Deng,Haiyan Deng,['Haiyan Deng']
"Chu, Yongqiang",Yongqiang Chu,"['Chu, Yongqiang']"
"Rutenberg, Aryeh",Aryeh Rutenberg,"['Rutenberg, Aryeh']"
"Liu, Shu-Cheng",Shu-Cheng Liu,"['Liu, Shu-Cheng']"
"Vetzal, K.R.",K.R. Vetzal,"['Vetzal, K.R.']"
"Nosenzo, Daniele",Daniele Nosenzo,"['Nosenzo, Daniele']"
"Bell, Christopher Ross",Christopher Ross Bell,"['Bell, Christopher Ross']"
Paul Joskow,Paul Joskow,['Paul Joskow']
David McC. Wright,David McC. Wright,['David McC. Wright']
"Ash, J Colin K",J Colin K Ash,"['Ash, J Colin K']"
Federico Ciliberto,Federico Ciliberto,['Federico Ciliberto']
"Kamoike, Osamu",Osamu Kamoike,"['Kamoike, Osamu']"
Albert Blauvelt,Albert Blauvelt,['Albert Blauvelt']
"Narayanan, M P",M P Narayanan,"['Narayanan, M P']"
Hunt Allcott,Hunt Allcott,"['Hunt Allcott', 'Allcott, Hunt']"
"Oczkowski, Edward",Edward Oczkowski,"['Oczkowski, Edward']"
"Dash, Gordon Jr.",Gordon Jr. Dash,"['Dash, Gordon Jr.']"
"van Hasselt, Martijn",Martijn van Hasselt,"['van Hasselt, Martijn']"
Joel Dean,Joel Dean,['Joel Dean']
"Mitaritonna, Cristina",Cristina Mitaritonna,"['Mitaritonna, Cristina']"
"Goddeeris, John H",John H Goddeeris,"['Goddeeris, John H']"
"Franks, Julian",Julian Franks,"['Franks, Julian', 'Julian Franks']"
"Swamy, P. A. V. B.",P. A. V. B. Swamy,"['Swamy, P. A. V. B.']"
"Finkelstein Shapiro, Alan",Alan Finkelstein Shapiro,"['Finkelstein Shapiro, Alan']"
"James, Denis W",Denis W James,"['James, Denis W']"
Yakov Amihud,Yakov Amihud,"['Yakov Amihud', 'Amihud, Yakov']"
"Annen, Kurt",Kurt Annen,"['Annen, Kurt']"
"Groenewegen, P D",P D Groenewegen,"['Groenewegen, P D']"
"Hsin, Chin-Wen",Chin-Wen Hsin,"['Hsin, Chin-Wen']"
"Benham, Lee",Lee Benham,"['Benham, Lee']"
"Schwert*, G. William",G. William Schwert*,"['Schwert*, G. William', 'G. William Schwert', 'Schwert, G. William', 'William Schwert, G.']"
"Jacoby, Hanan C",Hanan C Jacoby,"['Jacoby, Hanan C', 'Jacoby, Hanan G']"
"Miao, Chun-Hui",Chun-Hui Miao,"['Miao, Chun-Hui']"
Kenyon E. Poole,Kenyon E. Poole,['Kenyon E. Poole']
"Girard, Stéphane",Stéphane Girard,"['Girard, Stéphane']"
"Eichner, Thomas",Thomas Eichner,"['Eichner, Thomas', 'Thomas Eichner']"
"Parmentier, Alexis",Alexis Parmentier,"['Parmentier, Alexis', 'Alexis Parmentier']"
"Calvo, Guillermo",Guillermo Calvo,"['Calvo, Guillermo', 'Guillermo Calvo']"
Renzo Massari,Renzo Massari,['Renzo Massari']
J. A. Maxwell,J. A. Maxwell,['J. A. Maxwell']
"Mukherjee, Rahul",Rahul Mukherjee,"['Mukherjee, Rahul']"
Filippo Occhino,Filippo Occhino,"['Filippo Occhino', 'Occhino, Filippo']"
Todd Sorensen,Todd Sorensen,['Todd Sorensen']
Ben W. Lewis,Ben W. Lewis,"['Ben W. Lewis', 'Lewis, Ben W']"
"Millner, Antony",Antony Millner,"['Millner, Antony']"
Diana L. Moss,Diana L. Moss,['Diana L. Moss']
"Friar, Monica",Monica Friar,"['Friar, Monica']"
Ronald Lee,Ronald Lee,"['Ronald Lee', 'Lee, Ronald']"
"Duclos, Jean-Yves",Jean-Yves Duclos,"['Duclos, Jean-Yves', 'Jean-Yves Duclos']"
"Feri, Francesco",Francesco Feri,"['Feri, Francesco', 'Francesco Feri']"
Theodore A. Veenstra,Theodore A. Veenstra,['Theodore A. Veenstra']
"Kopits, George F",George F Kopits,"['Kopits, George F']"
"Antel, John J",John J Antel,"['Antel, John J']"
"Park, Kwangwoo",Kwangwoo Park,"['Park, Kwangwoo', 'Kwangwoo Park']"
Andreas Eckner,Andreas Eckner,['Andreas Eckner']
"Hussein, Iftikhar",Iftikhar Hussein,"['Hussein, Iftikhar']"
"Münster, Johannes",Johannes Münster,"['Münster, Johannes']"
"Smith, A. F. M.",A. F. M. Smith,"['Smith, A. F. M.']"
"Mascaro, Angelo",Angelo Mascaro,"['Mascaro, Angelo']"
Robert V. Rosa,Robert V. Rosa,['Robert V. Rosa']
"Gavin, William T.",William T. Gavin,"['Gavin, William T.']"
"Emanuel, David",David Emanuel,"['Emanuel, David']"
Tong Li,Tong Li,"['Tong Li', 'Li, Tong']"
Robert D. Willig,Robert D. Willig,"['Robert D. Willig', 'Willig, Robert D.', 'Willig, Robert D']"
"Su, Yu-Tien",Yu-Tien Su,"['Su, Yu-Tien']"
"Chen, Su-Jane",Su-Jane Chen,"['Chen, Su-Jane']"
"Hurvich, Clifford M.",Clifford M. Hurvich,"['Hurvich, Clifford M.', 'Clifford M. Hurvich']"
"Castiglionesi, Fabio",Fabio Castiglionesi,"['Castiglionesi, Fabio', 'Fabio Castiglionesi']"
"Segendorff, Bjorn",Bjorn Segendorff,"['Segendorff, Bjorn']"
"Zilberman, David",David Zilberman,"['Zilberman, David', 'David Zilberman']"
Filipa Sá,Filipa Sá,['Filipa Sá']
Moritz Meyer-ter-Vehn,Moritz Meyer-ter-Vehn,"['Moritz Meyer-ter-Vehn', 'Meyer-ter-Vehn, Moritz']"
"Chang, Carolyn W.",Carolyn W. Chang,"['Chang, Carolyn W.', 'Chang, Carolyn W']"
"Budd, John W",John W Budd,"['Budd, John W', 'John W. Budd']"
"Staubli, Stefan",Stefan Staubli,"['Staubli, Stefan']"
"Kimura, Yui",Yui Kimura,"['Kimura, Yui']"
"Holcombe, Randall G.",Randall G. Holcombe,"['Holcombe, Randall G.', 'Holcombe, Randall G']"
"Armington, Paul S.",Paul S. Armington,"['Armington, Paul S.']"
"Gibbons, Michael R.",Michael R. Gibbons,"['Gibbons, Michael R.', 'Gibbons, Michael R']"
J. Wilczynski,J. Wilczynski,['J. Wilczynski']
"Urich, Thomas J",Thomas J Urich,"['Urich, Thomas J']"
Norman Gemmell,Norman Gemmell,"['Norman Gemmell', 'Gemmell, Norman']"
Jeffrey Ely,Jeffrey Ely,['Jeffrey Ely']
"Dungey, Mardi",Mardi Dungey,"['Dungey, Mardi']"
"Moresi, Serge",Serge Moresi,"['Moresi, Serge']"
Nathan Matthews,Nathan Matthews,['Nathan Matthews']
"Datcher, Linda P",Linda P Datcher,"['Datcher, Linda P']"
"Bonaccorsi di Patti, Emilia",Emilia Bonaccorsi di Patti,"['Bonaccorsi di Patti, Emilia', 'Emilia Bonaccorsi Di Patti']"
"Nyberg, Lars",Lars Nyberg,"['Nyberg, Lars']"
"Renault, Thomas",Thomas Renault,"['Renault, Thomas']"
"Chinoy, Sajjid",Sajjid Chinoy,"['Chinoy, Sajjid']"
Jeremy Grant,Jeremy Grant,['Jeremy Grant']
"Peterson, Frederick M",Frederick M Peterson,"['Peterson, Frederick M']"
Bart L. W. Cockx,Bart L. W. Cockx,['Bart L. W. Cockx']
"Bonfatti, Roberto",Roberto Bonfatti,"['Bonfatti, Roberto']"
Joseph J. Sabia,Joseph J. Sabia,['Joseph J. Sabia']
"Jung, Byoung Cheol",Byoung Cheol Jung,"['Jung, Byoung Cheol', 'Cheol Jung, Byoung']"
"Gillett, Raphael",Raphael Gillett,"['Gillett, Raphael']"
"Niehaus, Greg",Greg Niehaus,"['Niehaus, Greg']"
Cynthia Kinnan,Cynthia Kinnan,['Cynthia Kinnan']
"Ladenson, Mark L",Mark L Ladenson,"['Ladenson, Mark L']"
"Griffith, Rachel",Rachel Griffith,"['Griffith, Rachel', 'Rachel Griffith']"
"Pisano, Luigi",Luigi Pisano,"['Pisano, Luigi']"
Nianyun (Kelly) Cai,Nianyun (Kelly) Cai,['Nianyun (Kelly) Cai']
Panayiota Lyssiotou,Panayiota Lyssiotou,['Panayiota Lyssiotou']
"Pole, A. M.",A. M. Pole,"['Pole, A. M.']"
"Smith, Barry",Barry Smith,"['Smith, Barry']"
k. g. binmore,k. g. binmore,['k. g. binmore']
"Aragón, Fernando M.",Fernando M. Aragón,"['Aragón, Fernando M.', 'Fernando M. Aragón']"
"Phillips, Blake",Blake Phillips,"['Phillips, Blake']"
"Fink, Günther",Günther Fink,"['Fink, Günther', 'Günther Fink']"
"Strong, John S",John S Strong,"['Strong, John S']"
"Becker, Robert",Robert Becker,"['Becker, Robert']"
Jorge De La Roca,Jorge De La Roca,['Jorge De La Roca']
"Liu, Chuanhai",Chuanhai Liu,"['Liu, Chuanhai']"
R. Triffin,R. Triffin,['R. Triffin']
Christopher Phelan,Christopher Phelan,"['Christopher Phelan', 'Phelan, Christopher']"
"Retzer, J. J.",J. J. Retzer,"['Retzer, J. J.']"
"Jerzmanowski, Michal",Michal Jerzmanowski,"['Jerzmanowski, Michal', 'Micha? Jerzmanowski']"
"Labégorre, Florence",Florence Labégorre,"['Labégorre, Florence']"
Peter A. Frost,Peter A. Frost,"['Peter A. Frost', 'Frost, Peter A', 'Frost, Peter A.']"
Charles B. Franklin,Charles B. Franklin,['Charles B. Franklin']
J. M. C. Santos Silva,J. M. C. Santos Silva,"['J. M. C. Santos Silva', 'Santos Silva, J.M.C.', 'Silva, J. M. C. Santos']"
Richard A. Chamberlin,Richard A. Chamberlin,['Richard A. Chamberlin']
"Poutvaara, Panu",Panu Poutvaara,"['Poutvaara, Panu']"
"Anbarci, Nejat",Nejat Anbarci,"['Anbarci, Nejat', 'Nejat Anbarci']"
Eleanor S. Wainstein,Eleanor S. Wainstein,['Eleanor S. Wainstein']
"Davidsen, Thorkild",Thorkild Davidsen,"['Davidsen, Thorkild']"
"Fazio, Giorgio",Giorgio Fazio,"['Fazio, Giorgio']"
"Chari, V.V.",V.V. Chari,"['Chari, V.V.', 'Chari, A.V.', 'V. V. Chari', 'Chari, V. V.']"
Elisabeth Sadoulet,Elisabeth Sadoulet,"['Elisabeth Sadoulet', 'Sadoulet, Elisabeth']"
"Kriz, Miroslav A",Miroslav A Kriz,"['Kriz, Miroslav A']"
Donald B. Hausch,Donald B. Hausch,"['Donald B. Hausch', 'Hausch, Donald B']"
"Polak, Pawe?",Pawe? Polak,"['Polak, Pawe?']"
John Wesson,John Wesson,['John Wesson']
H. L. Lutz,H. L. Lutz,['H. L. Lutz']
"Hotchkiss, Edith",Edith Hotchkiss,"['Hotchkiss, Edith']"
"Isaac, R Mark",R Mark Isaac,"['Isaac, R Mark', 'R. Mark Isaac', 'Isaac, R. Mark', 'Mark Isaac, R.']"
J. Parker Hall,J. Parker Hall,['J. Parker Hall']
"Celasun, Merih",Merih Celasun,"['Celasun, Merih']"
Christophe Rockmore,Christophe Rockmore,['Christophe Rockmore']
"Melody, William H",William H Melody,"['Melody, William H']"
"Chang, Yuanchen",Yuanchen Chang,"['Chang, Yuanchen']"
Dan Ariely,Dan Ariely,['Dan Ariely']
"Mayer, Wolfgang",Wolfgang Mayer,"['Mayer, Wolfgang']"
Mirabelle Mu?ls,Mirabelle Mu?ls,['Mirabelle Mu?ls']
"Prabhala, N R",N R Prabhala,"['Prabhala, N R']"
"Aunon-Nerin, Daniel",Daniel Aunon-Nerin,"['Aunon-Nerin, Daniel']"
Milos Vuckovic,Milos Vuckovic,['Milos Vuckovic']
"Johnson, S R",S R Johnson,"['Johnson, S R']"
E. A. Goldenweiser,E. A. Goldenweiser,['E. A. Goldenweiser']
"Åstebro, Thomas",Thomas Åstebro,"['Åstebro, Thomas']"
"Liberini, Federica",Federica Liberini,"['Liberini, Federica']"
"Wang, Weicheng",Weicheng Wang,"['Wang, Weicheng']"
Sunil Wahal,Sunil Wahal,"['Sunil Wahal', 'Wahal, Sunil']"
Dominique C. Badoer,Dominique C. Badoer,['Dominique C. Badoer']
Rita Ramalho,Rita Ramalho,['Rita Ramalho']
David De La Croix,David De La Croix,['David De La Croix']
"Kaplan, Todd",Todd Kaplan,"['Kaplan, Todd']"
