original,uniformat,equivalent
"Vergnaud, J.-C.",J.-C. Vergnaud,"['Vergnaud, J.-C.']"
J.-F. Richard,J.-F. Richard,"['J.-F. Richard', 'Richard, J. -F.', 'Richard, J. F.']"
"Tallon, J.-M.",J.-M. Tallon,"['Tallon, J.-M.']"
"Ancot, J.-P.",J.-P. Ancot,"['Ancot, J.-P.']"
J.-P. Fitoussi,J.-P. Fitoussi,['J.-P. Fitoussi']
"Kreiss, J.-P.",J.-P. Kreiss,"['Kreiss, J.-P.']"
"Niinimäki, J.-P.",J.-P. Niinimäki,"['Niinimäki, J.-P.']"
"McGill, J.A.",J.A. McGill,"['McGill, J.A.']"
"Morales, J.A.",J.A. Morales,"['Morales, J.A.']"
"Groen, J.A.Jeffrey A.",J.A.Jeffrey A. Groen,"['Groen, J.A.Jeffrey A.']"
"Smith, J.A.Jeffrey A.",J.A.Jeffrey A. Smith,"['Smith, J.A.Jeffrey A.']"
"Chay, J.B.",J.B. Chay,"['Chay, J.B.', 'J. B. Chay', 'Chay, J. B.']"
"Durham, J.B.J. Benson",J.B.J. Benson Durham,"['Durham, J.B.J. Benson']"
J.C. Ely,J.C. Ely,['J.C. Ely']
"Escanciano, J.C.",J.C. Escanciano,"['Escanciano, J.C.']"
"Glass, J.C.",J.C. Glass,"['Glass, J.C.', 'Glass, J. C.']"
"Heam, J.C.",J.C. Heam,"['Heam, J.C.']"
"Boscá, J.E.",J.E. Boscá,"['Boscá, J.E.']"
"Griffin, J.E.",J.E. Griffin,"['Griffin, J.E.', 'Griffin, J. E.']"
"Russo, J.E.",J.E. Russo,"['Russo, J.E.']"
"Hirschberg, J.G.",J.G. Hirschberg,"['Hirschberg, J.G.']"
"Paelinck, J.H.P.",J.H.P. Paelinck,"['Paelinck, J.H.P.']"
"Rattso, J.Jorn",J.Jorn Rattso,"['Rattso, J.Jorn']"
"Zumwalt, J.K.",J.K. Zumwalt,"['Zumwalt, J.K.']"
"Kung, J.K.-S.",J.K.-S. Kung,"['Kung, J.K.-S.']"
"Rothstein, J.M.Jesse M.",J.M.Jesse M. Rothstein,"['Rothstein, J.M.Jesse M.']"
"Lye, J.N.",J.N. Lye,"['Lye, J.N.']"
"Renne, J.P.",J.P. Renne,"['Renne, J.P.']"
"Magnus, J.R.Jan R.",J.R.Jan R. Magnus,"['Magnus, J.R.Jan R.']"
"Jordan, J.S.",J.S. Jordan,"['Jordan, J.S.', 'Jordan, J. S.', 'J. S. Jordan']"
"Shonkwiler, J.S.",J.S. Shonkwiler,"['Shonkwiler, J.S.']"
"Meenakshi, J.V.",J.V. Meenakshi,"['Meenakshi, J.V.']"
"Kolari, J.W.",J.W. Kolari,"['Kolari, J.W.']"
"Bos, J.W.B.",J.W.B. Bos,"['Bos, J.W.B.']"
J?r?me Adda,J?r?me Adda,['J?r?me Adda']
JIE YANG,JIE YANG,['JIE YANG']
JOHN J. McCONNELL,JOHN J. McCONNELL,['JOHN J. McCONNELL']
JOHN McINNIS,JOHN McINNIS,['JOHN McINNIS']
JOHN R. GRAHAM,JOHN R. GRAHAM,['JOHN R. GRAHAM']
JOSEPH A. McCAHERY,JOSEPH A. McCAHERY,['JOSEPH A. McCAHERY']
"R. Dan Brumbaugh, JR.",JR. R. Dan Brumbaugh,"['R. Dan Brumbaugh, JR.', 'R. Dan Brumbaugh, Jr.']"
JULES H. van BINSBERGEN,JULES H. van BINSBERGEN,['JULES H. van BINSBERGEN']
"Fabry, Jaak",Jaak Fabry,"['Fabry, Jaak']"
"Kiander, Jaakko",Jaakko Kiander,"['Kiander, Jaakko']"
"Pehkonen, Jaakko",Jaakko Pehkonen,"['Pehkonen, Jaakko']"
"Sääskilahti, Jaakko",Jaakko Sääskilahti,"['Sääskilahti, Jaakko']"
Jaap H. Abbring,Jaap H. Abbring,"['Jaap H. Abbring', 'Abbring, Jaap H.']"
"Bos, Jaap W.B.",Jaap W.B. Bos,"['Bos, Jaap W.B.']"
"Gaumnitz, Jabk E",Jabk E Gaumnitz,"['Gaumnitz, Jabk E', 'Gaumnitz, Jack E']"
"Thijssen, Jacco J.J.",Jacco J.J. Thijssen,"['Thijssen, Jacco J.J.']"
"Osiewalski, Jacek",Jacek Osiewalski,"['Osiewalski, Jacek']"
"Prokop, Jacek",Jacek Prokop,"['Prokop, Jacek']"
"Rothert, Jacek",Jacek Rothert,"['Rothert, Jacek']"
"Braga, Jacinto",Jacinto Braga,"['Braga, Jacinto']"
"Glen, Jack",Jack  Glen,"['Glen, Jack', 'Jack Glen', 'Glen, Jack D', 'Glen, Jack']"
"Meyer, Jack A",Jack A Meyer,"['Meyer, Jack A']"
Jack A. Nickerson,Jack A. Nickerson,['Jack A. Nickerson']
Jack Allyn McEnroe,Jack Allyn McEnroe,['Jack Allyn McEnroe']
Jack Bao,Jack Bao,['Jack Bao']
"Baranson, Jack",Jack Baranson,"['Baranson, Jack']"
"Boorman, Jack",Jack Boorman,"['Boorman, Jack']"
"Britton, Jack",Jack Britton,"['Britton, Jack']"
"Francis, Jack C",Jack C Francis,"['Francis, Jack C']"
"Hayya, Jack C",Jack C Hayya,"['Hayya, Jack C']"
Jack C. Rothwell,Jack C. Rothwell,['Jack C. Rothwell']
"Carr, Jack",Jack Carr,"['Carr, Jack']"
"Francis, Jack Clark",Jack Clark Francis,"['Francis, Jack Clark']"
"Glen, Jack D.",Jack D. Glen,"['Glen, Jack D.']"
"Triplett, Jack E",Jack E Triplett,"['Triplett, Jack E']"
Jack E. Gelfand,Jack E. Gelfand,['Jack E. Gelfand']
"Wahl, Jack E.",Jack E. Wahl,"['Wahl, Jack E.']"
Jack F. Bennett,Jack F. Bennett,['Jack F. Bennett']
Jack Fanning,Jack Fanning,['Jack Fanning']
Jack Favilukis,Jack Favilukis,"['Jack Favilukis', 'Favilukis, Jack']"
"Selody, Jack G",Jack G Selody,"['Selody, Jack G']"
Jack G. Wolf,Jack G. Wolf,['Jack G. Wolf']
Jack Guttentag,Jack Guttentag,"['Jack Guttentag', 'Guttentag, Jack', 'Guttentag, Jack']"
Jack H. Beebe,Jack H. Beebe,"['Jack H. Beebe', 'Beebe, Jack H']"
"Habib, Jack",Jack Habib,"['Habib, Jack']"
"Hadley, Jack",Jack Hadley,"['Hadley, Jack']"
"Hirshleifer, Jack",Jack Hirshleifer,"['Hirshleifer, Jack', 'Jack Hirshleifer']"
"Johnston, Jack",Jack Johnston,"['Johnston, Jack']"
Jack K. Strauss,Jack K. Strauss,['Jack K. Strauss']
"Carr, Jack L",Jack L Carr,"['Carr, Jack L', 'Carr, Jack L.']"
"Cooper, Jack L",Jack L Cooper,"['Cooper, Jack L']"
"Rutner, Jack L",Jack L Rutner,"['Rutner, Jack L']"
Jack L. Knetsch,Jack L. Knetsch,"['Jack L. Knetsch', 'Knetsch, Jack L']"
Jack L. Treynor,Jack L. Treynor,"['Jack L. Treynor', 'Treynor, Jack L', 'Treynor, Jack L']"
"Leahey, Jack",Jack Leahey,"['Leahey, Jack']"
Jack Lee Cooper,Jack Lee Cooper,['Jack Lee Cooper']
Jack London,Jack London,['Jack London']
"Guttentag, Jack M",Jack M Guttentag,"['Guttentag, Jack M', 'Jack M. Guttentag', 'Guttentag, Jack']"
Jack M. Mintz,Jack M. Mintz,"['Jack M. Mintz', 'Mintz, Jack M.']"
Jack Meyer,Jack Meyer,"['Jack Meyer', 'Meyer, Jack']"
"Mintz, Jack",Jack Mintz,"['Mintz, Jack']"
Jack N. Behrman,Jack N. Behrman,['Jack N. Behrman']
"Ochs, Jack",Jack Ochs,"['Ochs, Jack', 'Jack Ochs']"
"Suyderhoud, Jack P",Jack P Suyderhoud,"['Suyderhoud, Jack P']"
Jack Porter,Jack Porter,"['Jack Porter', 'Porter, Jack']"
"Praschnik, Jack",Jack Praschnik,"['Praschnik, Jack']"
"Vernon, Jack R",Jack R Vernon,"['Vernon, Jack R']"
"Porter, Jack R.",Jack R. Porter,"['Porter, Jack R.', 'Jack R. Porter']"
"Robles, Jack",Jack Robles,"['Robles, Jack']"
"Rossbach, Jack",Jack Rossbach,"['Rossbach, Jack']"
"Chang, Jack S K",Jack S K Chang,"['Chang, Jack S K']"
"S.K. Chang, Jack",Jack S.K. Chang,"['S.K. Chang, Jack', 'Chang, Jack S.K.']"
Jack Schechtman,Jack Schechtman,"['Jack Schechtman', 'Schechtman, Jack']"
"Treynor, Jack",Jack Treynor,"['Treynor, Jack']"
Jack Vernon,Jack Vernon,"['Jack Vernon', 'Vernon, Jack']"
"Carlson, Jack W",Jack W Carlson,"['Carlson, Jack W']"
"Wilson, Jack W",Jack W Wilson,"['Wilson, Jack W']"
Jack W. Cashin,Jack W. Cashin,['Jack W. Cashin']
Jack W. Cox,Jack W. Cox,['Jack W. Cox']
Jack Willis,Jack Willis,['Jack Willis']
"Wiseman, Jack",Jack Wiseman,"['Wiseman, Jack']"
"Worth, Jack",Jack Worth,"['Worth, Jack']"
Jack Wright,Jack Wright,['Jack Wright']
"Chan, Jackie M.L.",Jackie M.L. Chan,"['Chan, Jackie M.L.']"
Jackline Wahba,Jackline Wahba,"['Jackline Wahba', 'Wahba, Jackline']"
Jackson Matthew O.,Jackson Matthew O.,['Jackson Matthew O.']
"So, Jacky C",Jacky C  So,"['So, Jacky C', 'So, Jacky C']"
"Boudoukh, Jacob",Jacob  Boudoukh,"['Boudoukh, Jacob', 'Boudoukh, Jacob', 'Boudoukh, Jacob, et al', 'Jacob Boudoukh']"
"Bikker, Jacob A.",Jacob A. Bikker,"['Bikker, Jacob A.', 'Jacob A. Bikker']"
"Frenkel, Jacob A.",Jacob A. Frenkel,"['Frenkel, Jacob A.', 'Frenkel, Jacob A', 'Jacob A. Frenkel']"
Jacob A. Klerman,Jacob A. Klerman,['Jacob A. Klerman']
Jacob Alex Klerman,Jacob Alex Klerman,"['Jacob Alex Klerman', 'Klerman, Jacob Alex']"
"Michaelsen, Jacob B",Jacob B Michaelsen,"['Michaelsen, Jacob B', 'Jacob B. Michaelsen']"
"Cohen, Jacob",Jacob Cohen,"['Cohen, Jacob', 'Jacob Cohen']"
Jacob D. Leshno,Jacob D. Leshno,['Jacob D. Leshno']
"Frenkel, Jacob",Jacob Frenkel,"['Frenkel, Jacob']"
"Glazer, Jacob",Jacob Glazer,"['Glazer, Jacob', 'Jacob Glazer']"
"Goldin, Jacob",Jacob Goldin,"['Goldin, Jacob', 'Jacob Goldin']"
"Grossman, Jacob",Jacob Grossman,"['Grossman, Jacob']"
Jacob H. Hollander,Jacob H. Hollander,['Jacob H. Hollander']
Jacob Jensen,Jacob Jensen,['Jacob Jensen']
"Goeree, Jacob K.",Jacob K. Goeree,"['Goeree, Jacob K.', 'JacobK. Goeree', 'Jacob K. Goeree']"
Jacob Klerman,Jacob Klerman,['Jacob Klerman']
"Kol, Jacob",Jacob Kol,"['Kol, Jacob']"
Jacob Krimmel,Jacob Krimmel,['Jacob Krimmel']
Jacob L. Mosak,Jacob L. Mosak,['Jacob L. Mosak']
Jacob L. Vigdor,Jacob L. Vigdor,"['Jacob L. Vigdor', 'Vigdor, Jacob L.']"
"Meerman, Jacob",Jacob Meerman,"['Meerman, Jacob']"
Jacob Mincer,Jacob Mincer,"['Jacob Mincer', 'Mincer, Jacob']"
Jacob Moscona,Jacob Moscona,['Jacob Moscona']
Jacob N. Shapiro,Jacob N. Shapiro,"['Jacob N. Shapiro', 'Shapiro, Jacob N.']"
Jacob O. Kamm,Jacob O. Kamm,['Jacob O. Kamm']
"Oded, Jacob",Jacob Oded,"['Oded, Jacob', 'Jacob Oded']"
Jacob P. Meerman,Jacob P. Meerman,['Jacob P. Meerman']
"Paroush, Jacob",Jacob Paroush,"['Paroush, Jacob', 'Paroush, Jacob', 'Jacob Paroush']"
"Thornock, Jacob R.",Jacob R. Thornock,"['Thornock, Jacob R.', 'Jacob R. Thornock']"
"Rowberry, Jacob",Jacob Rowberry,"['Rowberry, Jacob']"
"Dreyer, Jacob S",Jacob S Dreyer,"['Dreyer, Jacob S']"
"Sagi, Jacob S.",Jacob S. Sagi,"['Sagi, Jacob S.', 'Jacob S. Sagi']"
Jacob Sagi,Jacob Sagi,['Jacob Sagi']
Jacob Schmookler,Jacob Schmookler,['Jacob Schmookler']
Jacob Schoenhof,Jacob Schoenhof,['Jacob Schoenhof']
"Stromberg, Jacob",Jacob Stromberg,"['Stromberg, Jacob']"
"Strømberg, Jacob",Jacob Strømberg,"['Strømberg, Jacob']"
Jacob Vigdor,Jacob Vigdor,"['Jacob Vigdor', 'Vigdor, Jacob']"
Jacob Viner,Jacob Viner,['Jacob Viner']
Jacob Weisdorf,Jacob Weisdorf,"['Jacob Weisdorf', 'Weisdorf, Jacob']"
Jacob Weissman,Jacob Weissman,['Jacob Weissman']
"Kamin, Jacob Y.",Jacob Y. Kamin,"['Kamin, Jacob Y.']"
Jacopo Cimadomo,Jacopo Cimadomo,"['Jacopo Cimadomo', 'Cimadomo, Jacopo']"
Jacopo Magnani,Jacopo Magnani,['Jacopo Magnani']
Jacopo Ponticelli,Jacopo Ponticelli,['Jacopo Ponticelli']
Jacque Eccles,Jacque Eccles,['Jacque Eccles']
Jacqueline Agesa,Jacqueline Agesa,['Jacqueline Agesa']
"Garner, Jacqueline L.",Jacqueline L. Garner,"['Garner, Jacqueline L.', 'Jacqueline L. Garner']"
"Meulman, Jacqueline",Jacqueline Meulman,"['Meulman, Jacqueline']"
"Pradel, Jacqueline",Jacqueline Pradel,"['Pradel, Jacqueline']"
"Wang, Jacqueline W.",Jacqueline W. Wang,"['Wang, Jacqueline W.']"
"Humphrey, Jacquelyn E.",Jacquelyn E. Humphrey,"['Humphrey, Jacquelyn E.']"
"Moffitt, Jacquelyn S.",Jacquelyn S. Moffitt,"['Moffitt, Jacquelyn S.']"
"Bughin, Jacques",Jacques Bughin,"['Bughin, Jacques']"
"Cremer, Jacques",Jacques Cremer,"['Cremer, Jacques', 'Jacques Cremer', 'Cremer, Jacques,']"
Jacques Crémer,Jacques Crémer,"['Jacques Crémer', 'Crémer, Jacques']"
"Defourny, Jacques",Jacques Defourny,"['Defourny, Jacques']"
"Dreze, Jacques",Jacques Dreze,"['Dreze, Jacques']"
"Drèze, Jacques",Jacques Drèze,"['Drèze, Jacques']"
Jacques F. Lesourne,Jacques F. Lesourne,['Jacques F. Lesourne']
"Thisse, Jacques F.",Jacques F. Thisse,"['Thisse, Jacques F.']"
"Girard, Jacques",Jacques Girard,"['Girard, Jacques']"
"Dreze, Jacques H.",Jacques H. Dreze,"['Dreze, Jacques H.', 'Jacques H. Dreze', 'Dreze, Jacques H, et al', 'Dreze, Jacques H']"
Jacques H. Drèze,Jacques H. Drèze,['Jacques H. Drèze']
"Hamon, Jacques",Jacques Hamon,"['Hamon, Jacques']"
"L'Huillier, Jacques",Jacques L'Huillier,"[""L'Huillier, Jacques""]"
"Lawarree, Jacques",Jacques Lawarree,"['Lawarree, Jacques']"
"Le Cacheux, Jacques",Jacques Le Cacheux,"['Le Cacheux, Jacques', 'Jacques Le Cacheux']"
Jacques Lesourne,Jacques Lesourne,"['Jacques Lesourne', 'Lesourne, Jacques']"
Jacques Lécaillon,Jacques Lécaillon,['Jacques Lécaillon']
Jacques Mairesse,Jacques Mairesse,"['Jacques Mairesse', 'Mairesse, Jacques']"
Jacques Melitz,Jacques Melitz,"['Jacques Melitz', 'Melitz, Jacques']"
"Morisset, Jacques",Jacques Morisset,"['Morisset, Jacques']"
"Myaux, Jacques",Jacques Myaux,"['Myaux, Jacques']"
"Olivier, Jacques",Jacques Olivier,"['Olivier, Jacques']"
"Lawarree, Jacques P.",Jacques P. Lawarree,"['Lawarree, Jacques P.']"
Jacques P. Olivier,Jacques P. Olivier,['Jacques P. Olivier']
"Artus, Jacques R.",Jacques R. Artus,"['Artus, Jacques R.']"
"Raynauld, Jacques",Jacques Raynauld,"['Raynauld, Jacques']"
"Robert, Jacques",Jacques Robert,"['Robert, Jacques', 'Jacques Robert']"
"Rolfo, Jacques",Jacques Rolfo,"['Rolfo, Jacques']"
Jacques Rueff,Jacques Rueff,['Jacques Rueff']
"Sadik, Jacques",Jacques Sadik,"['Sadik, Jacques']"
"Sanchez, Jacques",Jacques Sanchez,"['Sanchez, Jacques']"
"Silber, Jacques",Jacques Silber,"['Silber, Jacques', 'Jacques Silber']"
"Thisse, Jacques",Jacques Thisse,"['Thisse, Jacques']"
"de Larosiere, Jacques",Jacques de Larosiere,"['de Larosiere, Jacques']"
"van der Gaag, Jacques",Jacques van der Gaag,"['van der Gaag, Jacques']"
Jacques-Francois Thisse,Jacques-Francois Thisse,"['Jacques-Francois Thisse', 'Thisse, Jacques-François', 'Thisse, Jacques-Francis', 'Jacques?François Thisse', 'Jacques-François Thisse', 'Thisse, Jacques-Francois']"
"Song, Jae G.",Jae G. Song,"['Song, Jae G.']"
"Lee, Jae Ha",Jae Ha Lee,"['Lee, Jae Ha']"
"Shim, Jae K",Jae K Shim,"['Shim, Jae K']"
Jae Sim,Jae Sim,['Jae Sim']
"Song, Jae",Jae Song,"['Song, Jae', 'Jae Song']"
"Chung, Jae Wan",Jae Wan Chung,"['Chung, Jae Wan']"
"Lee, Jae Won",Jae Won Lee,"['Lee, Jae Won', 'Jae Won Lee']"
"Park, Jae Won",Jae Won Park,"['Park, Jae Won']"
"Kim, Jae-Cheol",Jae-Cheol Kim,"['Kim, Jae-Cheol']"
"Park, Jae-Hee",Jae-Hee Park,"['Park, Jae-Hee']"
Jae-Seung Baek,Jae-Seung Baek,"['Jae-Seung Baek', 'Baek, Jae-Seung']"
Jae-Young Kim,Jae-Young Kim,"['Jae-Young Kim', 'Kim, Jae-Young']"
"Ahn, JaeBin",JaeBin Ahn,"['Ahn, JaeBin', 'JaeBin Ahn']"
"Yun, Jaeho",Jaeho Yun,"['Yun, Jaeho']"
"Kim, Jaehong",Jaehong Kim,"['Kim, Jaehong']"
Jaehoon Hahn,Jaehoon Hahn,['Jaehoon Hahn']
Jaehoon Kim,Jaehoon Kim,"['Jaehoon Kim', 'Kim, Jaehoon']"
"Lee, Jaehoon",Jaehoon Lee,"['Lee, Jaehoon']"
"Kim, Jaehwan",Jaehwan Kim,"['Kim, Jaehwan']"
"Lee, Jaehyun",Jaehyun Lee,"['Lee, Jaehyun']"
"Choi, Jaehyung",Jaehyung Choi,"['Choi, Jaehyung']"
"Woo, Jaejoon",Jaejoon Woo,"['Woo, Jaejoon', 'Jaejoon Woo']"
"Park, Jaeok",Jaeok Park,"['Park, Jaeok']"
"Sung, Jaesang",Jaesang Sung,"['Sung, Jaesang']"
"Noh, Jaesum",Jaesum Noh,"['Noh, Jaesum']"
"Lee, Jaesung",Jaesung Lee,"['Lee, Jaesung']"
"Choi, Jaewon",Jaewon Choi,"['Choi, Jaewon', 'Jaewon Choi']"
"Lee, Jaewoo",Jaewoo Lee,"['Lee, Jaewoo', 'Jaewoo Lee']"
Jaewoo Ryoo,Jaewoo Ryoo,['Jaewoo Ryoo']
"Song, Jaeyeong",Jaeyeong Song,"['Song, Jaeyeong']"
"Hwang, Jaeyoun",Jaeyoun Hwang,"['Hwang, Jaeyoun']"
"Sung, Jaeyoung",Jaeyoung Sung,"['Sung, Jaeyoung', 'Jaeyoung Sung']"
Jagadeesh Gokhale,Jagadeesh Gokhale,"['Jagadeesh Gokhale', 'Gokhale, Jagadeesh']"
Jagadeesh Sivadasan,Jagadeesh Sivadasan,"['Jagadeesh Sivadasan', 'Sivadasan, Jagadeesh']"
Jagdeep S. Bhandari,Jagdeep S. Bhandari,"['Jagdeep S. Bhandari', 'Bhandari, Jagdeep S.']"
Jagdish Bhagwati,Jagdish Bhagwati,"['Jagdish Bhagwati', 'Bhagwati, Jagdish']"
"Handa, Jagdish",Jagdish Handa,"['Handa, Jagdish']"
Jagdish N. Bhagwati,Jagdish N. Bhagwati,"['Jagdish N. Bhagwati', 'Bhagwati, Jagdish N', 'Bhagwati, Jagdish N.']"
"Chadha, Jagjit S",Jagjit S Chadha,"['Chadha, Jagjit S', 'Chadha, Jagjit S.']"
Jahn K. Hakes,Jahn K. Hakes,['Jahn K. Hakes']
"Chowdhury, Jaideep",Jaideep Chowdhury,"['Chowdhury, Jaideep']"
"Oberoi, Jaideep",Jaideep Oberoi,"['Oberoi, Jaideep']"
"Roy, Jaideep",Jaideep Roy,"['Roy, Jaideep']"
Jaideep Shenoy,Jaideep Shenoy,"['Jaideep Shenoy', 'Shenoy, Jaideep']"
"Melo, Jaime A P",Jaime A P Melo,"['Melo, Jaime A P']"
"de Melo, Jaime A P",Jaime A P de Melo,"['de Melo, Jaime A P']"
"De Melo, Jaime A. P.",Jaime A. P. De Melo,"['De Melo, Jaime A. P.', 'Jaime A. P. de Melo']"
"Urrego, Jaime A.",Jaime A. Urrego,"['Urrego, Jaime A.']"
Jaime Alonso-Carrera,Jaime Alonso-Carrera,"['Jaime Alonso-Carrera', 'Alonso-Carrera, Jaime']"
"Quizon, Jaime B",Jaime B Quizon,"['Quizon, Jaime B']"
"Casassus, Jaime",Jaime Casassus,"['Casassus, Jaime', 'Jaime Casassus']"
"Dermody, Jaime Cuevas",Jaime Cuevas  Dermody,"['Dermody, Jaime Cuevas']"
"Zender, Jaime F.",Jaime F. Zender,"['Zender, Jaime F.', 'Zender, Jaime F', 'Jaime F. Zender', 'Zender, Jaime F']"
"Luque, Jaime",Jaime Luque,"['Luque, Jaime']"
"Marquez, Jaime",Jaime Marquez,"['Marquez, Jaime']"
"Ros, Jaime",Jaime Ros,"['Ros, Jaime']"
"Sempere, Jaime",Jaime Sempere,"['Sempere, Jaime']"
"Serra-Puche, Jaime",Jaime Serra-Puche,"['Serra-Puche, Jaime']"
"Sierra, Jaime",Jaime Sierra,"['Sierra, Jaime']"
"Melo, Jaime de",Jaime de Melo,"['Melo, Jaime de', 'De Melo, Jaime', 'de Melo, Jaime']"
Jaimie W. Lien,Jaimie W. Lien,['Jaimie W. Lien']
"Babad, Jair",Jair Babad,"['Babad, Jair']"
Jairo Nuñez,Jairo Nuñez,['Jairo Nuñez']
Jake Bowers,Jake Bowers,['Jake Bowers']
"Kendall, Jake",Jake Kendall,"['Kendall, Jake']"
"Madsen, Jakob B.",Jakob B. Madsen,"['Madsen, Jakob B.', 'Jakob B Madsen', 'Jakob B. Madsen', 'Madsen, Jakob B']"
Jakob De Haan,Jakob De Haan,"['Jakob De Haan', 'de Haan, Jakob', 'Jakob de Haan', 'Haan, Jakob de']"
"Bosma, Jakob J.",Jakob J. Bosma,"['Bosma, Jakob J.']"
"Klein, Jakob K.",Jakob K. Klein,"['Klein, Jakob K.']"
Jakob Madsen,Jakob Madsen,['Jakob Madsen']
Jakob Munch,Jakob Munch,['Jakob Munch']
"Neitzel, Jakob",Jakob Neitzel,"['Neitzel, Jakob']"
Jakob R. Munch,Jakob R. Munch,['Jakob R. Munch']
"Munch, Jakob Roland",Jakob Roland Munch,"['Munch, Jakob Roland', 'Jakob Roland Munch']"
"Rosing, Jakob",Jakob Rosing,"['Rosing, Jakob']"
"Svensson, Jakob",Jakob Svensson,"['Svensson, Jakob', 'Jakob Svensson']"
"Wei, Jakob",Jakob Wei,"['Wei, Jakob']"
"Cvitanic, Jaksa",Jaksa Cvitanic,"['Cvitanic, Jaksa']"
Jakub Growiec,Jakub Growiec,['Jakub Growiec']
Jakub Jurek,Jakub Jurek,['Jakub Jurek']
Jakub Kastl,Jakub Kastl,['Jakub Kastl']
Jakub Steiner,Jakub Steiner,"['Jakub Steiner', 'Steiner, Jakub']"
Jakub W. Jurek,Jakub W. Jurek,"['Jakub W. Jurek', 'Jurek, Jakub W.']"
Jakša Cvitani&cacute;,Jakša Cvitani&cacute;,['Jakša Cvitani&cacute;']
"Cvitani?, Jakša",Jakša Cvitani?,"['Cvitani?, Jakša']"
"Ahmad, Jaleel",Jaleel Ahmad,"['Ahmad, Jaleel']"
Jamal Ibrahim Haidar,Jamal Ibrahim Haidar,['Jamal Ibrahim Haidar']
"Rigolini, Jamele",Jamele Rigolini,"['Rigolini, Jamele']"
"Bicksler, James",James  Bicksler,"['Bicksler, James', 'Bicksler, James L']"
"Rosenfeld, James",James  Rosenfeld,"['Rosenfeld, James', 'Rosenfeld, James D', 'Rosenfeld, James']"
"Brickley, James A",James A  Brickley,"['Brickley, James A', 'Brickley, James A.', 'Brickley, James A']"
"Anderson, James A",James A Anderson,"['Anderson, James A', 'Anderson, James E']"
"Andreoni, James A",James A Andreoni,"['Andreoni, James A', 'Andreoni, James R']"
"Chalfant, James A",James A Chalfant,"['Chalfant, James A', 'Chalfant, James A.']"
"Crutchfield, James A",James A Crutchfield,"['Crutchfield, James A']"
"Dalton, James A",James A Dalton,"['Dalton, James A']"
"Dunlevy, James A",James A Dunlevy,"['Dunlevy, James A', 'James A. Dunlevy']"
"Gamble, James A",James A Gamble,"['Gamble, James A']"
"Girola, James A",James A Girola,"['Girola, James A']"
"Greenleaf, James A",James A Greenleaf,"['Greenleaf, James A']"
"Hanson, James A",James A Hanson,"['Hanson, James A', 'Hanson, James A.', 'Hanson, James S']"
"Johnson, James A",James A Johnson,"['Johnson, James A', 'Johnson, James A, et al']"
"Largay, James A, III",James A Largay,"['Largay, James A, III']"
"Millar, James A",James A Millar,"['Millar, James A', 'Millar, James R', 'Millar, James A.']"
"Schmitz, James A, Jr",James A Schmitz,"['Schmitz, James A, Jr']"
"Seagraves, James A",James A Seagraves,"['Seagraves, James A']"
"Stephenson, James A",James A Stephenson,"['Stephenson, James A', 'Stephenson, James B']"
"Swaney, James A",James A Swaney,"['Swaney, James A']"
"Trevithick, James A",James A Trevithick,"['Trevithick, James A']"
"Wilde, James A",James A Wilde,"['Wilde, James A']"
James A. Attwood,James A. Attwood,['James A. Attwood']
James A. Bennett,James A. Bennett,['James A. Bennett']
James A. Berkovec,James A. Berkovec,['James A. Berkovec']
James A. Bowie,James A. Bowie,['James A. Bowie']
James A. Brander,James A. Brander,"['James A. Brander', 'Brander, James A.', 'Brander, James A']"
James A. Campbell,James A. Campbell,['James A. Campbell']
"Chyz, James A.",James A. Chyz,"['Chyz, James A.']"
"Clouse, James A.",James A. Clouse,"['Clouse, James A.']"
James A. DePater,James A. DePater,['James A. DePater']
"Dearden, James A.",James A. Dearden,"['Dearden, James A.']"
James A. Emery,James A. Emery,['James A. Emery']
James A. Fairburn,James A. Fairburn,"['James A. Fairburn', 'Fairburn, James A.']"
James A. Field,James A. Field,['James A. Field']
James A. Freeman,James A. Freeman,['James A. Freeman']
"Kahn, James A.",James A. Kahn,"['Kahn, James A.', 'James A. Kahn', 'Kahn, James A']"
James A. LeRoy,James A. LeRoy,['James A. LeRoy']
"Levinsohn, James A.",James A. Levinsohn,"['Levinsohn, James A.', 'James A. Levinsohn', 'Levinsohn, James A']"
"Ligon, James A.",James A. Ligon,"['Ligon, James A.']"
James A. Maxwell,James A. Maxwell,['James A. Maxwell']
"Miles, James A.",James A. Miles,"['Miles, James A.', 'Miles, James A']"
James A. Miller,James A. Miller,"['James A. Miller', 'James C. Miller']"
James A. Mirrlees,James A. Mirrlees,"['James A. Mirrlees', 'Mirrlees, James A', 'Mirrlees, James A.']"
"Ohlson, James A.",James A. Ohlson,"['Ohlson, James A.', 'Ohlson, James A', 'Ohlson, James A']"
"Primbs, James A.",James A. Primbs,"['Primbs, James A.']"
"Read, James A.",James A. Read,"['Read, James A.']"
"Roumasset, James A.",James A. Roumasset,"['Roumasset, James A.']"
"Jr., James A. Schmitz",James A. Schmitz Jr.,"['Jr., James A. Schmitz', 'James A. Schmitz Jr.']"
"SchmitzJr, James A.",James A. SchmitzJr,"['SchmitzJr, James A.']"
"Verbrugge, James A.",James A. Verbrugge,"['Verbrugge, James A.', 'Verbrugge, James A']"
